date_found,business,domain,niche,location,scan_score,contact_email,fit,status,notes
2026-08-31,Glick Family Funeral Home,glickfamilyfuneralhome.com,funeral home,Boca Raton FL,2,,SKIP,skip,"Dated generic template (Ireland stock hero) BUT funeral homes need obituary systems - wrong fit for static redesign"
2026-08-31,All Car Shop,allcarshopinc.com,auto repair,Kissimmee FL,1,allcarkatie@cfl.rr.com,SKIP,skip,"Since 1978 + rr.com email BUT site is actually modern/clean - not a target"
2026-08-31,Taylor Family Funeral Home,taylorfamilyfuneralhome.com,funeral home,Pinellas Park FL,2,chris@taylorffh.com,SKIP,skip,"Funeral = wrong model (obituary system needs)"
2026-08-31,Auto Spot,autospotfl.com,auto repair,South Florida,0,autospotfl@gmail.com,MAYBE,unscanned-visually,"Since 1974 family-owned, gmail owner email - worth an eyeball for design quality"
2026-08-31,Campbell Automotive,campbell-auto.com,auto repair,Stuart FL,0,campbell34957@gmail.com,MAYBE,unscanned-visually,"Family-owned since 2004, gmail owner email - eyeball design"
2026-08-31,Tallahassee Welding & Machine,tallahasseewelding.com,machine shop,Tallahassee FL,3,ksmall@tallawelding.com,STRONG,ready-to-email,"VERIFIED dated: no HTTPS + not mobile, since 1942. Draft in outreach-2026-08-31.md"
2026-08-31,Ocala Roofing,ocalaroofing.com,roofing,Ocala FL,3,mail@ocalaroofing.com,LIKELY,eyeball-then-email,"Signal: not mobile. Draft ready - screenshot before sending"
2026-08-31,American Metal Products,americanmp.com,machine shop,Orlando FL,4,,SKIP,skip,"Score 4 (old jQuery+tables) BUT Weebly - renders fine. Skip."
2026-08-31,Marley Roofing,marleyroofingflorida.com,roofing,Sebring FL,2,,MAYBE,unscanned-visually,"Old jQuery only - eyeball if filling volume"
2026-08-31,Upholstery USA,uphusa.com,upholstery,Davie FL,8,,STRONG,form-send,"no HTTPS + no mobile. Contact form (no public email)"
2026-08-31,Mower Medics,mowermedicstampa.com,small engine,Tampa FL,7,,STRONG,form-send,"no HTTPS + no mobile. Contact form"
2026-08-31,Roundtree Bonding,roundtreebonding.com,bail bonds,North/Central FL,4,,LIKELY,form-send,"footer stuck on 2020 + old jQuery. Phone (352) 376-6645"
2026-08-31,Procare Pharmacy,myprocarepharmacy.com,pharmacy,Orlando FL,3,myprocarepharmacy@gmail.com,LIKELY,ready-to-email,"dated build (old jQuery) - lead with free preview"
2026-08-31,Upholstery USA,uphusa.com,upholstery,Davie FL,8,scott@uphusa.com,STRONG,ready-to-email,"UPDATE: found email scott@uphusa.com (form was broken). Now direct email."
2026-08-31,Roundtree Bonding,roundtreebonding.com,bail bonds,Gainesville FL,4,rickbonding16@gmail.com,LIKELY,ready-to-email,"UPDATE: email rickbonding16@gmail.com (site contact was call-only). Now direct email."
2026-08-31,Mower Medics,mowermedicstampa.com,small engine,Tampa FL,7,,STRONG,facebook-dm,"UPDATE: site+form dead, no email. Channel = Facebook (Mower Medics of Tampa Bay) or call 813-932-3700"
2026-08-31,Mower Medics,mowermedicstampa.com,small engine,Tampa FL,7,,DROPPED,skip,"no email + no Facebook (Zayden doesnt use FB). Strong flaw but unreachable by email - skip"
2026-08-31,Harvey's TV Service,plantcityelectronicsrepair.com,electronics repair,Plant City FL,8,amdservicesolution@gmail.com,STRONG,ready-batch3,"VERIFIED no-HTTPS + no-mobile"
2026-08-31,Sargent Upholstery,sargentupholstery.com,auto upholstery,Jacksonville FL,4,sales@sargentupholstery.com,STRONG,ready-batch3,"VERIFIED no-mobile, since 1935"
2026-08-31,Atlas Transmission,atlas-transmission.com,transmission,Palm Beach FL,3,Atlas01tra@aol.com,LIKELY,ready-batch3,"VERIFIED no-mobile, aol email"
2026-08-31,All Masters Transmissions,allmasterstransmissions.com,transmission,Opa-Locka FL,4,transtec0022@gmail.com,LIKELY,ready-batch3,"VERIFIED no-mobile"
2026-08-31,Mikes Pump and Well,floridawellservice.com,well drilling,Brooksville FL,8,,PHONE-ONLY,skip-email,"no-HTTPS strong flaw but no email/form only - call 352-799-2943 if wanted"
2026-08-31,Turner Transmission,turnertransmissionservice.com,transmission,Ocala FL,5,,PHONE-ONLY,skip-email,"no-HTTPS since 1954 but form-only - call 352-732-3355 if wanted"
